Catalog ID	Cnt	1_AM224.trim	1_AM225.trim	1_AM226.trim	1_AM227.trim	1_AM228.trim	1_AM229.trim	1_AM230.trim	1_AM232.trim	2_AM233.trim	2_AM234.trim	2_DPL3059.trim	2_DPL3279.trim	2_MB292.trim	2_MB293.trim	2_YPM6988.trim	2_YPM6989.trim	3_BMNH2008_625.trim	3_KU113_BLS13571.trim	3_MB294.trim	3_MB295.trim	3_MB297.trim	3_MB298.trim	3_MB304.trim	3_MB310.trim	4_MB311.trim	4_MB312.trim	4_MB313.trim	4_MB314.trim	4_MB315.trim	4_MB316.trim	4_MB317.trim	4_MB318.trim	5_MB319.trim	5_MB320.trim	5_MBUR3400.trim	5_MC11_038.trim	5_MC11_040.trim	5_MC11_170.trim	5_MC11_171.trim	5_MCZA_136769.trim	6_MCZA_136770.trim	6_MCZA_136840.trim	6_MCZA_136841.trim	6_MCZA_136842.trim	6_MCZA_136843.trim	6_MCZA_139706.trim	6_MH0406.trim	6_MH0419.trim	7_MM036.trim	7_MM050.trim	7_MM051.trim	7_MVZ253421.trim	7_MVZ253422.trim	7_MVZ253423.trim	7_MVZ253424.trim	7_MVZ253425.trim	8_MVZ253426.trim	8_MVZ253427.trim	8_MVZ253428.trim	8_MVZ253429.trim	8_MVZ253430.trim	8_MVZ253431.trim	8_MVZ253432.trim	8_MVZ253433.trim	9_KU117_BLS13653.trim	9_MB301.trim	9_MVZ253434.trim	9_MVZ253435.trim	9_NCSM78914.trim	9_NCSM78915.trim	9_TCWC95629.trim	9_TCWC95630.trim
21052	38	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	-	consensus	-	-	consensus	-	-	consensus	-	-	consensus	-	-	-	consensus	consensus	consensus	-	-	-	-	-	-	-	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	-	consensus	consensus	consensus	consensus	-	consensus
21087	38	-	consensus	consensus	consensus	-	consensus	-	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	consensus	-	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-	-	-	-	-	-	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	consensus	-	-	-	-	consensus	-	-	-	-	-	-	-	-	consensus	consensus	-	consensus
21097	39	-	consensus	consensus	-	-	consensus	-	-	consensus	consensus	consensus	consensus	-	-	-	consensus	-	consensus	-	consensus	consensus	-	-	consensus	-	consensus	consensus	-	-	-	-	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	-	consensus	consensus	consensus	-	-	-	-	-	consensus	consensus	consensus	consensus	-	-
21115	40	-	consensus	consensus	-	consensus	consensus	consensus	-	consensus	consensus	-	consensus	-	-	consensus	consensus	-	consensus	-	consensus	consensus	-	-	consensus	-	consensus	consensus	-	-	-	-	-	-	-	consensus	-	-	consensus	-	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	-	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	consensus	-	-	consensus	consensus	consensus	consensus	-	consensus
21118	50	-	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	consensus	-	consensus	consensus	-	-	-	consensus	consensus	consensus	-	-	-	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	-	-	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus
21122	49	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	-	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-	-	-	-	-	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-
21126	52	-	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	-	consensus	-	consensus	-	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	-	consensus	consensus	-	consensus	-	consensus	consensus	consensus	consensus
21131	50	-	consensus	consensus	consensus	-	-	-	-	-	consensus	consensus	consensus	-	-	consensus	consensus	-	consensus	-	-	consensus	-	-	consensus	-	consensus	consensus	consensus	consensus	consensus	-	consensus	-	-	consensus	-	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	-	consensus
21138	54	-	consensus	consensus	consensus	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	consensus	-	-	consensus	-	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	consensus
21145	46	-	consensus	consensus	-	consensus	consensus	-	consensus	-	consensus	-	consensus	consensus	-	consensus	consensus	-	consensus	-	consensus	consensus	-	-	consensus	-	consensus	consensus	consensus	-	-	-	-	-	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	-	consensus	-
21152	43	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	-	consensus	consensus	-	consensus	-	consensus	-	-	-	consensus	-	consensus	-	-	-	-	consensus	-	-	-	consensus	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	-	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	-	-	-
21158	60	-	consensus	consensus	-	-	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus
21163	61	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus
21176	37	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	-	-	consensus	-	-	consensus	consensus	-	-	consensus	-	consensus	consensus	-	-	-	-	-	-	-	-	-	-	-	-	consensus	consensus	consensus	consensus	consensus	-	-	consensus	-	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	-	-	-	-
21186	38	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	consensus	-	-	consensus	consensus	-	consensus	-	consensus	consensus	-	-	-	-	consensus	consensus	-	-	-	-	consensus	-	-	consensus	-	-	consensus	-	consensus	consensus	-	consensus	-	-	-	consensus	consensus	consensus	-	consensus	-	-	consensus	-	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	-	-
21210	43	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	-	-	consensus	consensus	consensus	-	consensus	consensus	-	-	consensus	-	consensus	consensus	-	-	-	-	-	-	-	consensus	-	-	-	-	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	-
21218	55	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	-	-	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	-	consensus
21226	51	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	consensus	consensus	consensus	-	consensus	-	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-	-	-	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	-	consensus
21232	39	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	-	-	-	-	-	consensus	consensus	-	consensus	consensus	-	-	-	consensus	consensus	consensus	-	-	-	-	-	-	-	consensus	-	consensus	-	-	consensus	consensus	-	consensus	consensus	-	-	consensus	-	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-
21241	44	-	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	-	-	consensus	-	consensus	-	-	consensus	-	-	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	-	-	consensus	-	-	consensus	-	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus
21245	45	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	-	consensus	consensus	-	consensus	-	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-	-	-	-	-	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	-	-	consensus
21250	36	-	consensus	-	-	consensus	-	-	-	-	-	consensus	consensus	-	consensus	-	-	-	consensus	consensus	consensus	consensus	-	-	consensus	consensus	-	consensus	-	-	consensus	consensus	consensus	-	consensus	-	-	-	-	-	-	consensus	consensus	consensus	-	consensus	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	consensus	consensus	consensus	-	-	-	consensus	consensus	-	-	-	-
21251	36	-	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	-	consensus	-	consensus	consensus	-	-	-	consensus	consensus	consensus	-	-	-	-	-	-	-	consensus	-	-	consensus	-	consensus	consensus	consensus	-	-	-	-	consensus	consensus	consensus	-	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	-	consensus	consensus	-	-	-	consensus
21253	47	-	consensus	consensus	-	-	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	-	-	-	-	consensus	-	consensus	-	consensus	consensus	consensus	-	-	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	consensus
21255	54	-	consensus	-	consensus	-	consensus	consensus	-	consensus	-	-	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-
21257	56	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	-	-	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus
21259	49	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	-	-	consensus	-	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-	-	-	-	-	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	-	consensus	consensus	consensus	consensus	-	-
21266	47	-	consensus	-	consensus	-	consensus	consensus	-	consensus	consensus	-	-	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	-	-	consensus	-	consensus	consensus	-	consensus	-	-	-	-	-	consensus	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-
21267	49	-	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	consensus	-	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	-	-	-	consensus	-	-	consensus	-	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus
21268	36	-	consensus	-	consensus	consensus	consensus	-	-	consensus	consensus	-	-	-	-	-	consensus	consensus	consensus	-	-	consensus	-	-	consensus	-	consensus	consensus	-	consensus	-	-	-	-	-	consensus	-	-	consensus	-	consensus	consensus	-	consensus	-	-	consensus	consensus	-	consensus	consensus	consensus	-	-	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	-	-
21280	36	-	consensus	consensus	consensus	-	consensus	-	-	consensus	consensus	-	-	-	-	-	consensus	-	consensus	-	-	consensus	-	-	consensus	consensus	consensus	consensus	-	-	-	-	consensus	-	-	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	-	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	-	-	consensus	-	-	-	-	consensus	consensus	consensus	consensus	-	-
21286	49	-	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	-	-	consensus	consensus	-	-	consensus	consensus	consensus	consensus	-	consensus	-	-	consensus	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	-	-	-	-	consensus	consensus	consensus	-	-
21310	44	-	consensus	-	consensus	-	-	consensus	consensus	-	consensus	-	-	-	-	consensus	consensus	-	consensus	consensus	consensus	consensus	-	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	-	-	-	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	consensus	consensus	-	-	consensus	consensus	consensus	-	consensus	consensus	consensus	-	consensus	-	-	-	-	-	consensus	consensus	consensus	consensus	-
